Ensembl_ID,ext_gene,biotype,chr,WT.6dpf.1,WT.6dpf.4,pex5KO.6dpf.1,pex5KO.6dpf.2
ENSDARG00000058597,nt5c3a,protein_coding,16,3.626886762,4.310813217,4.192686103,4.136706324
ENSDARG00000011196,dnajc11a,protein_coding,23,0,0,0,1.252490209
ENSDARG00000013203,si:ch211-1f22.1,protein_coding,1,0,0,0,0
ENSDARG00000028259,aldh3a2a,protein_coding,15,3.925267496,4.310813217,4.360431738,4.07886732
ENSDARG00000014806,hacd2,protein_coding,9,6.197328403,5.634791017,6.93078038,6.819979423
ENSDARG00000093671,BX001030.1,unprocessed_pseudogene,24,2.577078717,1.746662492,1.702536188,0.758099792
ENSDARG00000007671,ghrb,protein_coding,21,3.138447491,3.761746742,2.646399512,3.416523852
ENSDARG00000008788,camk1gb,protein_coding,23,2.739181937,2.300520784,2.646399512,2.363891357
ENSDARG00000097931,BX323557.1,lincRNA,5,0,0,0,0
ENSDARG00000088699,pdzd8,protein_coding,17,1.940526903,0.836143193,0,0
ENSDARG00000051851,ctu2,protein_coding,7,1.940526903,1.36207273,1.702536188,2.155848877
ENSDARG00000039215,arrb2a,protein_coding,10,1.274547371,0,0.808653096,2.155848877
ENSDARG00000029439,atp2a2a,protein_coding,8,4.841719899,5.359269113,3.429010674,3.74875189
ENSDARG00000103270,CR513789.1,lincRNA,22,1.274547371,2.050008648,2.461908937,2.155848877
ENSDARG00000069673,chid1,protein_coding,25,5.798058776,5.786170494,6.192810389,6.131880734
ENSDARG00000114797,rab3b,protein_coding,22,3.991127708,2.050008648,0,2.852269367
ENSDARG00000097253,yeats2,protein_coding,2,0,0,0,0
ENSDARG00000010266,igf2bp3,protein_coding,19,7.151912492,7.624377168,7.544107635,7.177742462
ENSDARG00000003217,urb2,protein_coding,13,2.577078717,2.300520784,2.250317981,0.758099792
ENSDARG00000100280,znfx1,protein_coding,6,0,0.836143193,0,0
ENSDARG00000030832,otofa,protein_coding,20,2.185255295,0,1.323745211,1.252490209
ENSDARG00000046132,dynlt3,protein_coding,11,3.354027365,3.761746742,4.002838239,3.88998269
ENSDARG00000037646,rgs11,protein_coding,1,0.773671072,0.836143193,0,0
ENSDARG00000026448,med29,protein_coding,15,0,0,0,0.758099792
ENSDARG00000098350,mxd3,protein_coding,14,1.940526903,0,0.808653096,2.155848877
ENSDARG00000012060,thbs3b,protein_coding,19,0,0,0,0
ENSDARG00000071725,znf1167,protein_coding,22,0,0.836143193,0,0
ENSDARG00000003032,eif4a1b,protein_coding,5,0,0,0,0
ENSDARG00000092945,si:ch211-250g4.3,protein_coding,19,4.841719899,5.151855964,5.823152694,5.035537326
ENSDARG00000092478,sdhaf1,protein_coding,21,1.645629537,1.746662492,1.702536188,2.155848877
ENSDARG00000007691,cul1b,protein_coding,24,2.185255295,2.86436823,2.461908937,1.912667577
